Bus Name,Bus Type,Start Time,End Time,Rating,Total Duration,Price,Seats Available,Route Name,Route Link,State
UPSRTC - LNI0366,Ordinary Non AC Seater 2+3,12:03,16:55,3.3,04h 52m,404,52 Seats available,Delhi To Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun,Uttar
Samay Shatabdi Travels Pvt Ltd,AC Sleeper (2+1),22:00,6:29,4.1,08h 29m,999,13 Seats available,Delhi To Kanpur,https://www.redbus.in/bus-tickets/delhi-to-kanpur,Uttar
RS YADAV SMART BUS,A/C Seater / Sleeper (2+1),22:00,6:50,4.3,08h 50m,999,34 Seats available,Delhi To Kanpur,https://www.redbus.in/bus-tickets/delhi-to-kanpur,Uttar
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:10,5:55,4.4,07h 45m,979,25 Seats available,Delhi To Kanpur,https://www.redbus.in/bus-tickets/delhi-to-kanpur,Uttar
AdRaj Kalpana Travels Pvt.Ltd,A/C Sleeper (2+1),22:45,7:15,4.4,08h 30m,1199,26 Seats available,Delhi To Kanpur,https://www.redbus.in/bus-tickets/delhi-to-kanpur,Uttar
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,4:15,2.1,07h 15m,500,24 Seats available,Delhi To Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit,Uttar
Rahul Travels,AshokLeyland Stile A/C,21:30,3:10,2.8,05h 40m,1080,21 Seats available,Delhi To Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit,Uttar
New Khaira TPT,A/C Seater / Sleeper (2+2),19:30,2:15,1.7,06h 45m,550,48 Seats available,Delhi To Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit,Uttar
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,4:10,4.1,07h 30m,720,12 Seats available,Delhi To Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit,Uttar
Gola Bus Service,Bharat Benz A/C Seater /Sleeper (2+1),13:20,18:20,4.2,05h 00m,729,17 Seats available,Lucknow To Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Uttar
Ashok Bus Service,VE A/C Sleeper (2+1),23:10,4:20,4.4,05h 10m,799,27 Seats available,Lucknow To Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Uttar
Raj Kalpana Travels Pvt.ltd.,Bharat Benz A/C Seater /Sleeper (2+1),13:00,18:30,4.5,05h 30m,829,12 Seats available,Lucknow To Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Uttar
PTC-SKYBUS,VE A/C Seater / Sleeper (2+1),13:00,18:30,4.9,05h 30m,800,19 Seats available,Lucknow To Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura,Uttar
